id,region,filiere,ktype,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
0,Normandie,Autre,Engraisseur avec diversification canne,10.1,0.0,19.0,0,2.9,0.0,2.9,0.0
1,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,109.2,0.9,134.2,0,0.0,0.0,0.0,109.2
2,Pays de la Loire,Ovins viande,600 brebis IDF - 3 périodes d'agnelage,71.8,0.2,56.1,0,23.4,23.4,0.0,48.5
3,Pays de la Loire,Bovins lait,"Robot de traite, 35% maïs/SFP",343.5,0.0,42.6,42,110.1,41.3,41.3,107.7
4,Pays de la Loire,Ovins viande,3 agn./2 ans non systématique Bergerie ,167.0,0.0,99.8,0,49.3,0.0,42.5,117.7
5,Bretagne,Autre,Engraisseur avec diversification canne,10.8,0.0,10.8,0,2.5,0.0,2.5,0.0
6,Normandie,Caprins,"MB saison, pâturage et foin",84.6,2.4,0.0,0,53.1,5.6,31.8,18.9
7,Normandie,Bovins viande,"Race charolaise, vêlages de printemps",246.3,1.3,170.9,0,130.1,74.3,55.7,29.4
8,Bretagne,Autre,Engraisseur avec diversification canne,14.3,1.5,13.6,0,2.4,0.4,2.1,1.2
9,Normandie,Autre,Engraisseur avec diversification canne,15.2,1.6,21.3,0,2.6,0.0,2.5,0.0
10,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,302.6,0.0,162.6,0,20.1,0.7,0.0,24.7
11,Pays de la Loire,Bovins lait,Herbager foin ventilé,120.8,0.0,114.3,73,72.3,9.6,50.9,5.1
12,Normandie,Bovins viande,"Vêl. hiver-printemps, Broutards lourds",133.7,0.0,76.4,0,102.8,40.6,62.2,7.1
13,Normandie,Ovins lait,"Début de traite au 15/12, foin ventilé",68.5,0.0,104.2,0,49.6,20.7,28.9,18.9
14,Normandie,Autre,Engraisseur avec diversification canne,7.9,0.0,23.1,0,3.6,1.1,2.5,0.0
15,Normandie,Ovins viande,300 brebis - Agneaux fini en bergerie,34.2,0.0,29.5,0,17.3,10.4,6.9,13.6
16,Bretagne,Bovins viande,"Vêl. hiver, Broutard d'automne dominant",128.2,0.0,63.4,0,106.4,78.2,24.1,0.0
17,Pays de la Loire,Bovins viande,"Début de traite au 15/01, enrubannage",75.3,0.0,133.2,0,35.1,31.0,4.1,40.2
18,Bretagne,Ovins lait,"Début de traite au 01/12, enrubannage",90.5,0.0,76.1,0,44.4,10.9,33.6,14.4
19,Pays de la Loire,Ovins viande,Bergerie dominants Achat des agnelles,80.5,0.0,34.0,0,40.8,15.2,0.0,0.0
20,Normandie,Bovins lait,"85 % de la sau en SFP, maïs dominant",175.4,0.0,88.1,41,95.5,40.1,6.3,53.2
21,Bretagne,Ovins viande,200 brebis - Romane - 100 Ha,84.2,1.9,76.5,0,56.6,0.0,14.0,16.0
22,Pays de la Loire,Autre,Engraisseur avec diversification canne,11.2,0.4,18.0,0,3.2,0.0,3.2,0.0
23,Bretagne,Ovins viande,3 agn.s en 2 ans Reproducteurs ,62.2,0.0,40.9,0,42.7,19.3,23.4,0.0
24,Normandie,Autre,Engraisseur avec diversification canne,10.6,0.1,11.8,0,2.3,0.7,1.7,0.0
25,Pays de la Loire,Caprins,Un systéme simple mais technique ,126.8,1.4,25.0,0,19.8,0.0,11.8,35.5
26,Pays de la Loire,Bovins lait,"85 % de la sau en SFP, maïs dominant",70.0,0.1,149.4,70,49.2,30.8,18.4,20.8
27,Normandie,Grandes cultures,"Race charolaise, 200 places",186.6,0.9,151.8,0,25.6,0.0,0.0,94.3
28,Pays de la Loire,Autre,Engraisseur avec diversification canne,3.8,0.7,19.0,0,3.4,1.0,2.4,0.0
29,Bretagne,Caprins,"Désaisonnement, enrubannage",34.8,0.2,121.7,1,15.2,6.4,8.8,19.5
30,Normandie,Caprins,Une gamme bien valorisée,69.6,0.8,38.1,0,44.1,26.7,17.4,4.1
31,Bretagne,Ovins lait,"Début de traite au 01/09, ensilage herbe",94.7,0.5,87.8,1,32.1,4.5,27.6,22.5
32,Normandie,Ovins viande,Bergerie dominants Achat des agnelles,79.9,0.0,63.5,0,31.8,9.4,22.4,48.2
33,Normandie,Bovins lait,35% maïs/SFP,167.2,0.0,114.6,67,144.6,52.0,35.0,22.5
34,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,243.2,0.2,116.8,2,10.1,0.4,0.0,43.7
35,Bretagne,Bovins lait,Système à double vitesse,174.4,0.0,172.8,92,123.7,50.2,52.9,21.5
36,Bretagne,Autre,Engraisseur avec diversification canne,9.0,0.0,15.1,1,2.0,0.0,2.0,0.5
37,Normandie,Autre,Engraisseur avec diversification canne,12.2,0.0,17.7,0,3.4,0.5,2.9,0.0
38,Bretagne,Ovins viande,3 agn./2 ans non systématique Bergerie ,100.8,0.2,88.9,0,36.4,27.4,9.0,44.3
39,Bretagne,Bovins lait,"Robot de traite, 35% maïs/SFP",287.7,0.0,152.4,18,157.6,85.5,34.5,122.0
40,Normandie,Ovins lait,"Début de traite au 15/12, foin ventilé",119.1,0.1,74.4,0,80.6,11.5,21.8,38.5
41,Normandie,Autre,Engraisseur avec diversification canne,13.5,0.9,16.1,0,3.2,0.0,2.6,0.0
42,Pays de la Loire,Ovins lait,"Début de traite au 01/12, enrubannage",96.6,0.8,59.5,0,76.5,5.7,70.8,11.2
43,Pays de la Loire,Autre,Engraisseur avec diversification canne,9.4,0.0,16.3,1,3.3,1.0,2.4,1.5
44,Pays de la Loire,Caprins,"Mises bas en saison, enrubannage et foin",55.4,0.6,58.1,0,39.8,15.9,17.2,0.0
45,Bretagne,Caprins,Mises bas saison,178.3,0.0,51.6,1,31.0,1.0,30.0,4.2
46,Bretagne,Autre,Engraisseur avec diversification canne,13.8,0.0,17.9,0,2.6,0.0,2.4,0.0
47,Bretagne,Ovins lait,"Début de traite au 20/02, foin",180.8,0.5,66.5,0,100.0,16.5,83.5,6.3
48,Bretagne,Bovins lait,20% de maïs/SFP,160.4,0.0,200.8,86,76.5,29.1,42.0,0.0
49,Normandie,Ovins viande,200 brebis - Romane - 100 Ha,196.9,0.0,30.5,0,45.4,7.6,19.1,0.0
50,Normandie,Caprins,"MB désaisonnées, enrubannage",62.4,1.1,49.1,1,0.0,0.0,0.0,13.4
51,Pays de la Loire,Autre,Engraisseur avec diversification canne,8.2,1.0,21.4,0,3.0,0.0,3.0,0.0
52,Bretagne,Ovins viande,3 agn.s en 2 ans Bergerie dominants,173.7,0.0,40.9,0,9.6,4.6,5.0,26.0
53,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,110.4,0.9,125.0,1,7.2,0.0,0.0,103.2
54,Normandie,Bovins lait,2/3 pâture VL au printemps,171.9,0.7,73.8,26,117.5,12.2,41.7,0.0
55,Bretagne,Caprins,Pastoral assurant par le distribué,0.0,0.0,21.9,0,0.0,0.0,0.0,0.0
56,Normandie,Ovins viande,Deux périodes d'agn. Agneaux Bergerie,101.6,0.0,68.6,0,38.0,23.1,14.9,58.9
57,Bretagne,Autre,Engraisseur avec diversification canne,7.9,1.2,17.3,0,3.6,0.7,2.9,0.9
58,Pays de la Loire,Caprins,Une gamme lactique en circuits courts,162.1,1.3,0.0,0,37.5,0.0,27.1,22.1
59,Bretagne,Caprins,"Désaisonnement, 30% LL, foin de luzerne",37.8,0.0,56.1,0,21.7,20.7,0.0,16.1
60,Normandie,Ovins lait,"Début de traite au 01/12, enrubannage",176.5,0.0,97.3,1,75.9,17.9,58.1,29.0
