ktype,filiere,region,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
Herbe et betterave fourragère,Bovins lait,0,90.0,0.0,83.7,60.0,66.5,27.5,37.0,23.5
100% herbe,Bovins lait,0,55.0,0.0,64.4,42.0,55.0,51.5,3.5,0.0
5-15% maïs/SFP,Bovins lait,0,55.0,0.0,79.2,52.0,55.0,46.0,4.0,0.0
100% herbe/SFP,Bovins lait,0,113.0,0.0,158.8,96.0,106.0,70.0,36.0,7.0
Zero concentré,Bovins lait,0,80.0,0.0,80.1,58.0,80.0,68.5,11.5,0.0
Concentrés auto-produits,Bovins lait,0,98.0,0.0,101.2,72.0,90.0,45.0,45.0,8.0
Concentrés auto-produits,Bovins lait,0,113.5,0.0,122.2,91.0,96.5,34.5,53.5,17.0
"autonomie protéïque, < 5500 l/VL ",Bovins lait,0,83.3,0.0,74.7,54.0,74.4,7.44,66.96000000000001,8.9
6000 à 7000 l/VL,Bovins lait,0,117.1,0.0,113.2,81.0,102.0,9.22,82.98,15.1
"autonomie protéique, > 6500 l/VL",Bovins lait,0,152.0,0.0,132.7,95.0,133.6,13.27,120.33,18.4
100% herbe/SFP,Bovins lait,0,148.0,0.0,122.2,78.0,124.0,100.0,24.0,24.0
100% herbe/SFP,Bovins lait,0,238.0,0.0,162.8,105.0,169.0,100.0,69.0,69.0
Une partie des concentrés achetée,Bovins lait,0,106.0,0.0,117.8,84.0,89.0,26.0,47.0,17.0
"90 % de la SAU en SFP, mais-herbe",Bovins lait,0,90.0,0.0,97.9,72.0,80.0,10.0,55.0,10.0
100% pâture VL pendant 3 mois,Bovins lait,0,86.0,0.0,121.2,77.0,80.0,0.0,57.0,6.0
 6000 à 6500 l/VL,Bovins lait,0,70.0,0.0,85.9,65.0,64.7,8.0,48.0,5.3
2/3 pâture VL au printemps,Bovins lait,0,97.7,0.0,104.6,75.0,75.6,5.35,48.15,22.1
100% pâture VL pendant 3 mois,Bovins lait,0,98.0,0.0,97.6,69.0,73.85,5.64,52.11,24.15
100% pâture VL pendant 4 mois,Bovins lait,0,78.0,0.0,80.6,59.0,68.3,5.86,52.74,9.7
> 7000 l/VL,Bovins lait,0,144.0,0.0,135.4,98.0,122.1,9.66,90.54,21.9
zone à bon potentiel herbager,Bovins lait,0,140.0,0.0,143.6,97.0,105.0,50.0,30.0,35.0
35% maïs/SFP,Bovins lait,0,60.0,0.0,94.0,64.0,48.0,28.0,3.0,12.0
35% maïs/SFP,Bovins lait,0,69.0,0.0,88.7,57.0,51.0,11.0,22.0,18.0
" 80 % de la SAU en SFP, maïs-herbe",Bovins lait,0,100.0,0.0,108.0,82.0,79.5,6.3,45.2,20.5
> 9000 l/VL,Bovins lait,0,86.0,0.0,103.0,72.0,60.0,2.0,29.0,26.0
140 VL avec ROTO ,Bovins lait,0,142.0,0.0,193.7,141.0,121.0,0.0,68.0,21.0
0% pâture VL,Bovins lait,0,92.4,0.0,110.7,79.0,66.0,3.42,30.78,26.4
0% pâture VL,Bovins lait,0,215.5,0.0,253.0,180.0,153.94,7.92,71.28,61.56
1/3 pâture VL au printemps ,Bovins lait,0,94.0,0.0,107.9,79.0,67.5,3.84,34.56,26.5
1/3 pâture VL au printemps ,Bovins lait,0,184.9,0.0,205.9,149.0,129.8,7.47,67.23,55.1
"35% maïs/SFP, grande dimension",Bovins lait,0,199.0,0.0,237.0,140.0,143.0,76.0,18.0,56.0
25% maïs/SFP,Bovins lait,0,105.0,0.0,117.9,58.0,72.5,55.0,0.0,32.5
30% maïs/SFP,Bovins lait,0,140.0,0.0,216.9,90.0,122.0,84.0,0.0,18.0
"14% maïs/SFP, Bœufs normands",Bovins lait,0,119.0,0.0,145.7,75.0,104.0,66.0,23.0,15.0
50% mais/SFP,Bovins lait,0,101.5,0.0,117.2,61.0,67.5,17.0,16.5,34.0
"bœufs laitiers, 100% pâture VL 2 mois",Bovins lait,0,102.0,0.0,116.9,74.0,77.5,20.0,35.0,24.5
"génisses viande, 100% pâture VL 4 mois",Bovins lait,0,67.5,0.0,71.2,47.0,48.5,0.0,40.0,19.0
"< 10% maïs/SFP, vaches allaitantes",Bovins lait,0,236.0,0.0,210.6,76.0,188.0,176.0,0.0,48.0
"< 10% maïs/SFP, bœufs",Bovins lait,0,120.0,0.0,112.8,50.0,100.0,90.0,0.0,20.0
50% Maïs/SFP,Bovins lait,0,250.0,0.0,200.8,138.0,103.0,45.0,4.5,147.0
"Robot de traite, 50% Maïs/SFP",Bovins lait,0,100.0,0.0,83.7,60.0,42.5,16.0,6.0,57.5
50% Maïs/SFP,Bovins lait,0,140.0,0.0,95.4,62.0,54.5,23.0,4.0,85.5
50% Maïs/SFP,Bovins lait,0,80.0,0.0,51.2,36.0,26.5,10.0,4.5,53.5
50% Maïs/SFP,Bovins lait,0,140.0,0.0,95.4,62.0,46.0,22.0,2.5,94.0
"35% maïs/SFP, 97 VL",Bovins lait,0,190.0,0.0,140.5,96.0,82.0,38.0,14.5,108.0
"Roto, 45% Maïs/SFP, 140 VL",Bovins lait,0,270.0,0.0,188.3,139.0,99.0,33.0,20.0,171.0
65 % de la SAU en  SFP - Maïs dominant,Bovins lait,0,145.0,0.0,134.2,100.0,93.6,0.0,47.6,51.4
"60 % de la SAU en SFP, Maïs dominant",Bovins lait,0,180.0,0.0,175.3,130.0,107.5,15.0,50.5,72.5
30 % de la SAU en SFP - maïs dominant,Bovins lait,0,250.0,0.0,114.2,85.0,84.6,0.0,52.6,165.4
"35 % de la SAU en SFP, maïs dominant",Bovins lait,0,150.0,0.0,78.6,60.0,53.0,6.2,13.8,97.0
1/3 pâture VL au printemps ,Bovins lait,0,166.8,0.0,136.1,95.0,83.4,4.78,43.019999999999996,83.4
"30% maïs/SFP, grande dimension",Bovins lait,0,602.0,0.0,331.4,210.0,232.0,134.0,27.0,370.0
Robot de traite. Plus de 20% de maïs/SFP,Bovins lait,0,140.0,0.0,91.2,65.0,63.0,28.0,16.0,77.0
"Bon potentiel agronomique, 50% SCOP",Bovins lait,0,280.0,0.0,215.0,150.0,132.0,60.0,28.0,148.0
"70% cultures de vente, sol superficiel ",Bovins lait,0,340.0,0.0,130.1,85.7,106.0,55.0,25.0,234.0
35% maïs/SFP,Bovins lait,0,150.0,0.0,110.5,54.0,69.3,45.0,2.299999999999997,80.7
"Robot de traite, 35% maïs/SFP",Bovins lait,0,182.0,0.0,127.8,70.0,82.0,48.0,7.0,100.0
" 25% maïs/SFP, vaches allaitantes et JB",Bovins lait,0,414.0,0.0,368.6,148.0,265.5,198.0,0.0,148.5
"35% maïs/SFP, JB",Bovins lait,0,176.0,0.0,117.5,64.0,80.0,52.0,0.0,96.0
Engraissement de taurillons laitiers,Bovins lait,0,260.0,0.0,201.5,114.0,148.7,61.0,48.0,111.3
"Zone de plaine, bons potentiels",Bovins lait,0,240.0,0.0,202.3,99.0,154.0,99.0,27.0,86.0
100% herbe/SFP,Bovins lait,0,120.0,0.0,87.4,50.0,120.0,120.0,0.0,0.0
Herbager foin ventilé,Bovins lait,0,95.0,0.0,76.1,54.0,85.8,40.0,45.8,9.2
Herbager ensilage d'herbe,Bovins lait,0,67.0,0.0,53.4,38.0,61.0,39.0,22.0,6.0
Herbe Maïs Montagne,Bovins lait,0,96.0,0.0,76.1,55.0,80.0,43.0,31.0,16.0
