Sheet,Variable,Description,Type,Fill Rate,Unique Values,Category,Is Relevant
Atelier Grandes cultures,DTGCUCP.GCU_CALCULE,GCU Coût de production calculé (O/N),O/N,0.996742671009772,3,Economic,True
Atelier Grandes cultures,DTGCUCP.GCUCP_VENTEGCU,Description not found,Unknown,0.996742671009772,156,Economic,True
Caractéristiques,FONC1.CAPPUGB,Chargement apparent UGB/ha SFT,NUM,0.990228013029316,144,Economic,True
Système fourrager,FONC1.CCORUGB,Chargement corrigé UGB/ha SFP,NUM,0.9869706840390879,130,Economic,True
Atelier Bovins viande,DTBVCP.BV_CALCULE,BV Coût de production calculé (O/N),O/N,0.38110749185667747,2,Economic,True
Atelier Bovins viande,DTBVCP.BV_NBUNITES,BV Nombre d'unités (100kgvv) pour le calcul du coût de production,NUM,0.38110749185667747,114,Economic,True
Atelier Bovins viande,DTBVCP.BVCP_VENTEANI,Description not found,Unknown,0.38110749185667747,115,Economic,True
Atelier Bovins viande,DTBVCP.BVCP_ACHATSANI,Description not found,Unknown,0.38110749185667747,102,Economic,True
Atelier Bovins lait,DTBL.PRIXLC,Description not found,Unknown,0.3224755700325733,60,Economic,True
Atelier Bovins lait,DTBL.PRIXCONCBL,Description not found,Unknown,0.3224755700325733,99,Economic,True
Atelier Bovins lait,DTBLCP.BL_CALCULE,BL Coût de production calculé (O/N),O/N,0.3224755700325733,2,Economic,True
Atelier Bovins lait,DTBLCP.BLCP_ACHATSANI,Description not found,Unknown,0.3224755700325733,4,Economic,True
Atelier Ovins viande,DTOV.PRIXMA,Description not found,Unknown,0.250814332247557,71,Economic,True
Atelier Ovins viande,DTOV.PRIXMAHR,Description not found,Unknown,0.250814332247557,70,Economic,True
Atelier Ovins viande,DTOV.PRIXMAKGC,Description not found,Unknown,0.250814332247557,43,Economic,True
Atelier Ovins viande,DTOVCP.OV_CALCULE,OV Coût de production calculé (O/N),O/N,0.250814332247557,2,Economic,True
Atelier Ovins viande,DTOVCP.OV_NBUNITES,OV Nombre d'unités (Eq. kgc) pour le calcul du coût de production,INT,0.250814332247557,75,Economic,True
Atelier Ovins viande,DTOV.CHARAPOV,Chargement appar OV:EMP/ha SFPO,NUM,0.247557003257329,68,Economic,True
Résultats économiques,ECOCO.LIBACA,Libellé autre charge animale,STR,0.14332247557003253,26,Economic,True
Atelier Caprins,DTCA.QLVDCA,Lait chèvre vente directe (l),INT,0.1140065146579805,2,Economic,True
Atelier Caprins,DTCACP.CA_CALCULE,CA Coût de production calculé (O/N),O/N,0.1140065146579805,2,Economic,True
Atelier Caprins,DTCACP.CACP_ACHATSANI,Description not found,Unknown,0.1140065146579805,9,Economic,True
Résultats économiques,ECOVEG.LIBACV,Libellé autre charge végétale,STR,0.09446254071661242,23,Economic,True
Atelier Ovins lait,DTOLCP.OL_CALCULE,OL Coût de production calculé (O/N),O/N,0.04234527687296419,2,Economic,True
Atelier Ovins lait,DTOLCP.OL_NBUNITES,OL Nombre d'unités (1000l) pour le calcul du coût de production,NUM,0.04234527687296419,13,Economic,True
Atelier Ovins lait,DTOLCP.OLCP_ACHATSANI,Description not found,Unknown,0.04234527687296419,13,Economic,True
Liste dossiers Excel,STRUC.PATELIERVEA,Présence d'un atelier HS Veaux (O/N),O/N,0.996742671009772,2,Environment,True
Caractéristiques,FONC1.TSAU,Total SAU de l'assolement,NUM,0.996742671009772,128,Environment,True
Système fourrager,SYSFOU.TUGBFSD,tMS de fourrages conservés utilisés /UGB,NUM,0.996742671009772,216,Environment,True
Système fourrager,SYSFOU.TUGBFAD,tMS fourrages et co-produits achetés utilisés / UGB,NUM,0.996742671009772,65,Environment,True
Système fourrager,SYSFOU.PAUTOFC,Pourcentage d'autonomie des fourrages conservés,NUM,0.996742671009772,74,Environment,True
Résultats économiques,ECOCSTB.EAU,Description not found,Unknown,0.996742671009772,214,Environment,True
Résultats économiques,ECOCSTB.GAZ,Description not found,Unknown,0.996742671009772,6,Environment,True
Environnement,DCOMP.NFOUR,Entrée: N fourrages,INT,0.996742671009772,150,Environment,True
Environnement,DCOMP.PFOUR,Entrée: P2O5 fourrages,INT,0.996742671009772,146,Environment,True
Environnement,DCOMP.KFOUR,Entrée: K2O fourrages,INT,0.996742671009772,147,Environment,True
Atelier Grandes cultures,DTGCUCP.GCUCP_BATI_EAU,Description not found,Unknown,0.996742671009772,138,Environment,True
Atelier Grandes cultures,DTGCUCP.GCUCP_BATI_ELECGAZ,Description not found,Unknown,0.996742671009772,157,Environment,True
Environnement,DCOMP.NENGEAU,Entrée: N engrais SAU+Eau irrigation,INT,0.9804560260586319,236,Environment,True
Environnement,ENERGIE.EQFELECP,Total MJ Electricité et pompage collectif eau irrigation,INT,0.7719869706840391,180,Environment,True
Environnement,ENERGIE.PEQFELECP,% MJ Electricité et pompage collectif eau irrigation,NUM,0.7719869706840391,173,Environment,True
Atelier Grandes cultures,ENERGIE.EQFGCU,Consommation d'énergie MJ atelier GCU,INT,0.7654723127035831,191,Environment,True
Atelier Grandes cultures,ENERGIE.EQFELEGCU,MJ Electricité et pompage eau atelier GCU,INT,0.7654723127035831,184,Environment,True
Atelier Bovins viande,FONC1.NBTAUBV,Nombre de taureaux BV,NUM,0.38110749185667747,34,Environment,True
Atelier Bovins viande,DTBV.NVBV1,Nb vêlages BV janvier,INT,0.38110749185667747,32,Environment,True
Atelier Bovins viande,DTBV.DVGBV1,Nb vêlages génisse BV janvier,INT,0.38110749185667747,14,Environment,True
Atelier Bovins viande,DTBV.NVBV2,Nb vêlages BV février,INT,0.38110749185667747,31,Environment,True
Atelier Bovins viande,DTBV.DVGBV2,Nb vêlages génisse BV février,INT,0.38110749185667747,17,Environment,True
Atelier Bovins viande,DTBV.NVBV3,Nb vêlages BV mars,INT,0.38110749185667747,27,Environment,True
Atelier Bovins viande,DTBV.DVGBV3,Nb vêlages génisse BV mars,INT,0.38110749185667747,12,Environment,True
Atelier Bovins viande,DTBV.NVBV4,Nb vêlages BV avril,INT,0.38110749185667747,18,Environment,True
Atelier Bovins viande,DTBV.DVGBV4,Nb vêlages génisse BV avril,INT,0.38110749185667747,5,Environment,True
Atelier Bovins viande,DTBV.NVBV5,Nb vêlages BV mai,INT,0.38110749185667747,12,Environment,True
Atelier Bovins viande,DTBV.DVGBV5,Nb vêlages génisse BV mai,INT,0.38110749185667747,4,Environment,True
Atelier Bovins viande,DTBV.NVBV6,Nb vêlages BV juin,INT,0.38110749185667747,10,Environment,True
Atelier Bovins viande,DTBV.DVGBV6,Nb vêlages génisse BV juin,INT,0.38110749185667747,4,Environment,True
Atelier Bovins viande,DTBV.NVBV7,Nb vêlages BV juillet,INT,0.38110749185667747,10,Environment,True
Atelier Bovins viande,DTBV.DVGBV7,Nb vêlages génisse BV juillet,INT,0.38110749185667747,6,Environment,True
Atelier Bovins viande,DTBV.NVBV8,Nb vêlages BV août,INT,0.38110749185667747,19,Environment,True
Atelier Bovins viande,DTBV.DVGBV8,Nb vêlages génisse BV août,INT,0.38110749185667747,13,Environment,True
Atelier Bovins viande,DTBV.NVBV9,Nb vêlages BV septembre,INT,0.38110749185667747,20,Environment,True
Atelier Bovins viande,DTBV.DVGBV9,Nb vêlages génisse BV septembre,INT,0.38110749185667747,13,Environment,True
Atelier Bovins viande,DTBV.NVBV10,Nb vêlages BV octobre,INT,0.38110749185667747,20,Environment,True
Atelier Bovins viande,DTBV.DVGBV10,Nb vêlages génisse BV octobre,INT,0.38110749185667747,13,Environment,True
Atelier Bovins viande,DTBV.NVBV11,Nb vêlages BV novembre,INT,0.38110749185667747,27,Environment,True
Atelier Bovins viande,DTBV.DVGBV11,Nb vêlages génisse BV novembre,INT,0.38110749185667747,15,Environment,True
